Battery,Car_name,Efficiency,Fast_charge,Price,Range,Top_speed,Acceleration
77,Audi Q4 e-tron 55 quattro,195,590,2090960,395,180,5.4
90,NIO ET7 100 kWh,178,530,3221496,505,200,3.8
77,Audi Q4 Sportback e-tron 45,177,650,1947428,435,180,6.7
64,Kia e-Soul 64 kWh,173,350,1663908,370,167,7.9
101.7,BMW i7 eDrive50,196,780,4100408,520,205,5.5
106,Audi SQ8 e-tron,233,570,3395152,455,210,4.5
83.7,Porsche Taycan GTS,186,1110,4958268.64,450,250,3.7
83.7,Porsche Taycan Plus,173,1190,3503704.72,485,230,5.4
101.7,BMW i7 M70 xDrive,208,730,6442992,490,250,3.7
50.8,Opel Astra Sports Tourer Electric,169,480,1541285.6,300,170,9.3
66,Volvo C40 Recharge Single Motor,186,430,1683400,355,180,7.3
92,Lucid Air Pure AWD,156,990,3862960,590,200,4.2
77,Volkswagen ID.5 GTX,179,640,2000765.2,430,180,5.5
21.3,Fiat 500e Hatchback 24 kWh,158,230,1098285.6,135,135,9
46.3,Opel Corsa Electric 50 kWh,157,470,1227996,295,150,8.7
107,Polestar 3 Long Range Performance,228,610,3373888,470,210,4.7
46.3,Citroen e-Berlingo M 50 kWh,226,330,1339277.6,205,135,11.7
90,Mercedes eVito Tourer Long 90 kWh,290,310,2276949.12,310,160,12
87,Nissan Ariya e-4ORCE 87kWh - 225 kW,215,480,2196925.6,405,200,5.7
90,NIO EL6 100 kWh,205,460,2640280,440,200,4.5
50.8,Citroen e-C4 X 54 kWh,154,470,1472177.6,330,150,10
50.8,DS 3 E-Tense,169,480,1436737.6,300,150,9
108.4,Mercedes EQS 450 4MATIC,178,910,4017442.96,610,210,5.6
46,MG MG5 Electric Standard Range,174,320,1257765.6,265,185,7.7
96,Mercedes EQE SUV 350+,202,660,3076581.84,475,210,6.9
89,Mercedes EQE 350 4MATIC,176,640,2627840.56,505,210,6.3
83.7,Porsche Taycan Turbo S,195,1060,7007905.6,430,260,2.8
46.3,Peugeot e-Rifter Long 50 kWh,232,320,1504073.6,200,135,11.7
90,NIO EL7 100 kWh,209,450,3363256,430,200,3.9
91,Ford Mustang Mach-E GT,214,380,2739512,425,200,3.7
64,Zeekr X Long Range RWD,178,540,1629176.8,360,180,5.6
94,Zeekr 001 Privilege AWD,188,700,2444296.8,500,200,3.8
90,NIO ET5 Touring 100 kWh,186,500,2427640,485,200,4
79,Polestar 2 Long Range Performance,176,670,2313346,450,205,4.2
66.5,Mercedes EQB 300 4MATIC,193,500,1967593.36,345,160,8
45,Nissan Townstar EV Passenger,200,230,1417245.6,225,132,12.6
59.3,ORA Funky Cat 63 kWh,174,240,1576725.6,340,160,8.2
89,Mercedes EQE 350,173,650,2516062.8,515,210,6.4
89,Audi Q8 e-tron Sportback 50 quattro,200,690,2716476,445,200,6
37.3,Fiat 500e 3+1 42 kWh,159,390,1310925.6,235,150,9
77,Audi Q4 e-tron 45 quattro,195,590,1947428,395,180,6.6
70.5,NIO ET5 75 kWh,178,530,2108680,395,200,4
74,Genesis GV70 Electrified Sport,211,860,2385112,350,235,4.2
66.5,Mercedes EQB 350 4MATIC,193,500,2062501.68,345,160,6.2
108.4,Mercedes EQS AMG 53 4MATIC+,203,800,5493518.96,535,250,3.4
70.5,NIO ET5 Touring 75 kWh,183,520,2108680,385,200,4
90.6,Mercedes EQE SUV 350 4MATIC,208,550,3173581.12,435,210,6.6
77,Audi Q4 Sportback e-tron 55 quattro,186,620,2161840,415,180,5.4
77,Skoda Enyaq RS,177,650,2163612,435,180,5.5
82.5,Genesis G80 Electrified Luxury,188,880,2452448,440,225,4.9
58,CUPRA Born 170 kW - 58 kWh,168,460,1444180,345,160,6.6
71,Porsche Taycan,169,1030,3300846.16,420,230,5.4
108.4,Mercedes EQS SUV 500 4MATIC,221,730,4413874.8,490,210,5.2
27,e.Go e.wave X,180,NA,885645.6,150,135,12
45,Mercedes EQT 200 Standard,200,230,1752330.8,225,132,12.6
108.4,Mercedes EQS 500 4MATIC,184,880,4443396.32,590,210,4.8
83.7,Porsche Taycan 4S Plus,174,1180,4255670.64,480,250,4
90.6,Mercedes EQE 500 4MATIC,179,750,3126339.6,505,210,4.7
83.7,Porsche Taycan 4 Cross Turismo,190,1080,3659321.76,440,220,5.1
81,Elaris BEO 86 kWh,208,290,1881509.6,390,150,8
108.4,Mercedes EQS SUV 450 4MATIC,221,730,4061742.96,490,210,6
87,Nissan Ariya e-4ORCE 87kWh - 290 kW,215,480,2533605.6,405,200,5.1
68,Opel Vivaro-e Combi M 75 kWh,257,290,2018024.48,265,130,13.3
59.3,ORA Funky Cat GT,180,230,1753925.6,330,160,8.2
90.6,Mercedes EQE SUV 300,201,570,2958495.76,450,210,7.6
106,Audi SQ8 e-tron Sportback,221,610,3474892,480,210,4.5
77,Audi Q4 Sportback e-tron 45 quattro,186,620,2018308,415,180,6.6
62,Smart #1 Pulse,194,490,1647605.6,320,180,3.9
46.3,Toyota Proace City Verso Electric L1 50 kWh,220,330,1339632,210,135,11.2
37.3,Fiat 500e Cabrio 42 kWh,162,380,1346365.6,230,150,9
90.6,Mercedes EQE SUV AMG 43 4MATIC,218,620,4427164.8,415,210,4.3
68,Toyota PROACE Verso M 75 kWh,257,290,2286943.2,265,130,13.1
46.3,Toyota Proace City Verso Electric L2 50 kWh,226,330,1422916,205,135,11.2
71,Porsche Taycan 4S,171,1020,4059970.96,415,250,4
87.7,VinFast VF 8 Eco Extended Range,206,550,1877965.6,425,200,5.9
90.6,Mercedes EQE AMG 43 4MATIC,195,690,3712552.64,465,210,4.2
66.5,Mercedes EQA 300 4MATIC,187,510,1896748.8,355,160,7.7
46.3,Citroen e-SpaceTourer M 50 kWh,250,290,1901001.6,185,130,12.1
37.8,Abarth 500e Hatchback,168,370,1346365.6,225,155,7
90.6,Mercedes EQE SUV AMG 53 4MATIC+,221,610,4941682.72,410,240,3.5
68,Opel Zafira-e Life L 75 kWh,262,280,2483458,260,130,13.3
60,Aiways U6,171,430,1686518.72,350,160,7
